time(s)	speed(km/s)	position(km)	M(r)(kg)
0	0	6378	6.01662e+024
10	-355.203	6376.52	6.015e+024
20	-710.476	6374.05	6.01229e+024
30	-1065.86	6370.6	6.0085e+024
40	-1421.41	6366.16	6.00362e+024
50	-1777.17	6360.73	5.99765e+024
60	-2133.18	6354.31	5.99057e+024
70	-2489.48	6346.9	5.98238e+024
80	-2846.14	6338.49	5.97307e+024
90	-3203.18	6329.1	5.96264e+024
100	-3560.66	6318.71	5.95107e+024
110	-3918.61	6307.33	5.93834e+024
120	-4277.09	6294.95	5.92445e+024
130	-4636.15	6281.58	5.90938e+024
140	-4995.81	6267.2	5.89312e+024
150	-5356.13	6251.82	5.87564e+024
160	-5717.16	6235.44	5.85694e+024
170	-6078.93	6218.05	5.83699e+024
180	-6441.48	6199.65	5.81577e+024
190	-6804.86	6180.25	5.79326e+024
200	-7169.12	6159.83	5.76944e+024
210	-7534.28	6138.39	5.74428e+024
220	-7900.4	6115.94	5.71777e+024
230	-8267.51	6092.46	5.68987e+024
240	-8635.65	6067.96	5.66057e+024
250	-9004.85	6042.44	5.62982e+024
260	-9375.16	6015.88	5.59762e+024
270	-9746.61	5988.29	5.56392e+024
280	-10119.2	5959.66	5.5287e+024
290	-10493.1	5930	5.49193e+024
300	-10868.1	5899.29	5.45358e+024
310	-11244.5	5867.53	5.41361e+024
320	-11622.1	5834.72	5.372e+024
330	-12001.1	5800.86	5.32872e+024
340	-12381.4	5765.94	5.28373e+024
350	-12763	5729.95	5.237e+024
360	-13146.1	5692.91	5.18851e+024
370	-13530.6	5654.79	5.13821e+024
380	-13916.5	5615.59	5.08608e+024
390	-14303.8	5575.32	5.0321e+024
400	-14692.6	5533.97	4.97622e+024
410	-15082.8	5491.53	4.91843e+024
420	-15474.5	5448	4.8587e+024
430	-15867.6	5403.38	4.79699e+024
440	-16262.2	5357.66	4.7333e+024
450	-16658.2	5310.84	4.66759e+024
460	-17055.6	5262.91	4.59986e+024
470	-17454.5	5213.87	4.53009e+024
480	-17854.7	5163.72	4.45826e+024
490	-18256.2	5112.45	4.38436e+024
500	-18659.1	5060.06	4.3084e+024
510	-19063.2	5006.54	4.23038e+024
520	-19468.5	4951.9	4.1503e+024
530	-19875	4896.13	4.06817e+024
540	-20282.5	4839.22	3.98401e+024
550	-20691.1	4781.18	3.89784e+024
560	-21100.6	4722	3.80971e+024
570	-21510.9	4661.67	3.71963e+024
580	-21922	4600.21	3.62768e+024
590	-22333.7	4537.6	3.53388e+024
600	-22745.9	4473.84	3.43833e+024
610	-23158.4	4408.94	3.34108e+024
620	-23571.2	4342.89	3.24222e+024
630	-23984	4275.7	3.14186e+024
640	-24396.7	4207.36	3.04009e+024
650	-24809.2	4137.87	2.93703e+024
660	-25221.1	4067.24	2.83282e+024
670	-25632.4	3995.46	2.7276e+024
680	-26042.7	3922.55	2.62151e+024
690	-26451.9	3848.51	2.51474e+024
700	-26859.7	3773.33	2.40745e+024
710	-27265.7	3697.03	2.29984e+024
720	-27669.8	3619.61	2.19211e+024
730	-28071.7	3541.07	2.08447e+024
740	-28470.9	3461.43	1.97716e+024
750	-28867.2	3380.7	1.8704e+024
760	-29260.2	3298.87	1.76444e+024
770	-29649.6	3215.97	1.65953e+024
780	-30034.9	3132.01	1.55593e+024
790	-30415.8	3046.99	1.45391e+024
800	-30791.9	2960.93	1.35373e+024
810	-31162.8	2873.85	1.25566e+024
820	-31527.9	2785.77	1.15997e+024
830	-31886.8	2696.7	1.06692e+024
840	-32239.2	2606.65	9.76782e+023
850	-32584.4	2515.66	8.89793e+023
860	-32922.1	2423.74	8.062e+023
870	-33251.7	2330.92	7.26227e+023
880	-33572.7	2237.22	6.50085e+023
890	-33884.6	2142.66	5.77963e+023
900	-34186.9	2047.27	5.10028e+023
910	-34479.2	1951.09	4.46423e+023
920	-34760.8	1854.14	3.8726e+023
930	-35031.3	1756.46	3.32621e+023
940	-35290.2	1658.07	2.82557e+023
950	-35537.1	1559.01	2.37081e+023
960	-35771.3	1459.32	1.96169e+023
970	-35992.5	1359.04	1.59762e+023
980	-36200.3	1258.19	1.27759e+023
990	-36394.1	1156.83	1.0002e+023
1000	-36573.6	1054.99	7.63672e+022
1010	-36738.4	952.707	5.65818e+022
1020	-36888.1	850.032	4.04092e+022
1030	-37022.4	747.005	2.75588e+022
1040	-37141	643.671	1.77064e+022
1050	-37243.6	540.074	1.04973e+022
1060	-37330.1	436.26	5.54952e+021
1070	-37400.1	332.273	2.45774e+021
1080	-37453.5	228.161	7.97129e+020
1090	-37490.3	123.97	1.28006e+020
1100	-37510.3	19.7473	5.17599e+017
1110	-37513.5	-84.4613	4.04907e+019
1120	-37499.9	-188.609	4.50506e+020
1130	-37469.5	-292.648	1.68038e+021
1140	-37422.3	-396.534	4.17146e+021
1150	-37358.6	-500.219	8.35085e+021
1160	-37278.5	-603.659	1.4627e+022
1170	-37182.1	-706.809	2.33855e+022
1180	-37069.7	-809.624	3.49854e+022
1190	-36941.5	-912.061	4.97558e+022
1200	-36797.8	-1014.08	6.79931e+022
1210	-36639.1	-1115.63	8.99587e+022
1220	-36465.5	-1216.68	1.15877e+023
1230	-36277.5	-1317.19	1.45935e+023
1240	-36075.5	-1417.12	1.80279e+023
1250	-35859.9	-1516.43	2.1902e+023
1260	-35631.2	-1615.09	2.62226e+023
1270	-35389.7	-1713.06	3.0993e+023
1280	-35136.1	-1810.31	3.62128e+023
1290	-34870.7	-1906.8	4.18782e+023
1300	-34594.1	-2002.52	4.79818e+023
1310	-34306.8	-2097.41	5.45134e+023
1320	-34009.2	-2191.47	6.146e+023
1330	-33701.8	-2284.66	6.88057e+023
1340	-33385.3	-2376.96	7.65328e+023
1350	-33060	-2468.34	8.46213e+023
1360	-32726.4	-2558.78	9.30495e+023
1370	-32385.1	-2648.27	1.01794e+024
1380	-32036.5	-2736.77	1.10832e+024
1390	-31681.2	-2824.28	1.20137e+024
1400	-31319.5	-2910.78	1.29683e+024
1410	-30951.9	-2996.24	1.39445e+024
1420	-30578.8	-3080.67	1.49397e+024
1430	-30200.8	-3164.03	1.59512e+024
1440	-29818.1	-3246.33	1.69765e+024
1450	-29431.3	-3327.55	1.80131e+024
1460	-29040.6	-3407.67	1.90583e+024
1470	-28646.4	-3486.7	2.01099e+024
1480	-28249.2	-3564.62	2.11656e+024
1490	-27849.1	-3641.42	2.2223e+024
1500	-27446.7	-3717.1	2.32801e+024
1510	-27042	-3791.66	2.43349e+024
1520	-26635.5	-3865.08	2.53854e+024
1530	-26227.4	-3937.37	2.64299e+024
1540	-25818	-4008.51	2.74667e+024
1550	-25407.5	-4078.52	2.84943e+024
1560	-24996.1	-4147.38	2.95111e+024
1570	-24584	-4215.1	3.0516e+024
1580	-24171.6	-4281.67	3.15077e+024
1590	-23758.8	-4347.09	3.2485e+024
1600	-23346	-4411.37	3.34471e+024
1610	-22933.2	-4474.5	3.43931e+024
1620	-22520.7	-4536.48	3.53221e+024
1630	-22108.5	-4597.32	3.62336e+024
1640	-21696.8	-4657.02	3.71268e+024
1650	-21285.6	-4715.58	3.80013e+024
1660	-20875.2	-4772.99	3.88567e+024
1670	-20465.6	-4829.27	3.96926e+024
1680	-20056.9	-4884.42	4.05088e+024
1690	-19649.1	-4938.43	4.1305e+024
1700	-19242.4	-4991.32	4.20811e+024
1710	-18836.7	-5043.08	4.2837e+024
1720	-18432.2	-5093.72	4.35726e+024
1730	-18028.9	-5143.24	4.4288e+024
1740	-17626.8	-5191.64	4.49831e+024
1750	-17226	-5238.94	4.56582e+024
1760	-16826.5	-5285.12	4.63132e+024
1770	-16428.3	-5330.2	4.69483e+024
1780	-16031.5	-5374.19	4.75638e+024
1790	-15636	-5417.07	4.81597e+024
1800	-15241.8	-5458.86	4.87364e+024
1810	-14849.1	-5499.56	4.9294e+024
1820	-14457.7	-5539.18	4.98329e+024
1830	-14067.6	-5577.71	5.03532e+024
1840	-13678.9	-5615.17	5.08552e+024
1850	-13291.6	-5651.55	5.13393e+024
1860	-12905.6	-5686.87	5.18057e+024
1870	-12520.9	-5721.11	5.22546e+024
1880	-12137.4	-5754.3	5.26865e+024
1890	-11755.3	-5786.42	5.31016e+024
1900	-11374.4	-5817.48	5.35001e+024
1910	-10994.8	-5847.5	5.38825e+024
1920	-10616.4	-5876.46	5.42489e+024
1930	-10239.1	-5904.38	5.45996e+024
1940	-9862.96	-5931.26	5.4935e+024
1950	-9487.95	-5957.09	5.52552e+024
1960	-9114.01	-5981.89	5.55607e+024
1970	-8741.12	-6005.65	5.58515e+024
1980	-8369.23	-6028.38	5.61281e+024
1990	-7998.32	-6050.08	5.63906e+024
2000	-7628.34	-6070.76	5.66392e+024
2010	-7259.26	-6090.41	5.68743e+024
2020	-6891.03	-6109.04	5.7096e+024
2030	-6523.62	-6126.65	5.73045e+024
2040	-6156.98	-6143.25	5.75e+024
2050	-5791.08	-6158.83	5.76827e+024
2060	-5425.87	-6173.39	5.78528e+024
2070	-5061.31	-6186.94	5.80104e+024
2080	-4697.35	-6199.49	5.81557e+024
2090	-4333.96	-6211.02	5.82889e+024
2100	-3971.09	-6221.55	5.84101e+024
2110	-3608.69	-6231.07	5.85193e+024
2120	-3246.73	-6239.58	5.86168e+024
2130	-2885.15	-6247.1	5.87026e+024
2140	-2523.91	-6253.6	5.87768e+024
2150	-2162.97	-6259.11	5.88394e+024
2160	-1802.27	-6263.62	5.88906e+024
2170	-1441.79	-6267.12	5.89303e+024
2180	-1081.46	-6269.62	5.89587e+024
2190	-721.249	-6271.13	5.89757e+024
2200	-361.106	-6271.63	5.89814e+024
2210	-0.985869	-6271.13	5.89758e+024
2220	359.157	-6269.64	5.89588e+024
2230	719.369	-6267.14	5.89305e+024
2240	1079.69	-6263.64	5.88908e+024
2250	1440.18	-6259.14	5.88397e+024
2260	1800.87	-6253.63	5.87771e+024
2270	2161.81	-6247.13	5.87029e+024
2280	2523.05	-6239.62	5.86172e+024
2290	2884.63	-6231.1	5.85197e+024
2300	3246.59	-6221.58	5.84105e+024
2310	3608.99	-6211.05	5.82893e+024
2320	3971.86	-6199.51	5.81561e+024
2330	4335.25	-6186.97	5.80107e+024
2340	4699.2	-6173.41	5.7853e+024
2350	5063.76	-6158.84	5.76828e+024
2360	5428.97	-6143.25	5.75e+024
2370	5794.87	-6126.64	5.73043e+024
2380	6161.51	-6109.02	5.70957e+024
2390	6528.92	-6090.37	5.68738e+024
2400	6897.15	-6070.7	5.66386e+024
2410	7266.24	-6050.01	5.63896e+024
2420	7636.22	-6028.28	5.61269e+024
2430	8007.14	-6005.52	5.585e+024
2440	8379.03	-5981.73	5.55587e+024
2450	8751.93	-5956.9	5.52529e+024
2460	9125.87	-5931.03	5.49322e+024
2470	9500.9	-5904.12	5.45963e+024
2480	9877.03	-5876.16	5.42451e+024
2490	10254.3	-5847.15	5.38781e+024
2500	10632.8	-5817.09	5.34951e+024
2510	11012.4	-5785.98	5.30959e+024
2520	11393.3	-5753.8	5.26801e+024
2530	11775.5	-5720.56	5.22474e+024
2540	12158.9	-5686.25	5.17976e+024
2550	12543.6	-5650.87	5.13303e+024
2560	12929.7	-5614.42	5.08452e+024
2570	13317	-5576.89	5.03421e+024
2580	13705.8	-5538.28	4.98207e+024
2590	14095.8	-5498.58	4.92807e+024
2600	14487.3	-5457.8	4.87218e+024
2610	14880.1	-5415.92	4.81438e+024
2620	15274.3	-5372.94	4.75464e+024
2630	15669.8	-5328.87	4.69295e+024
2640	16066.7	-5283.68	4.62928e+024
2650	16464.9	-5237.4	4.56362e+024
2660	16864.5	-5190	4.49595e+024
2670	17265.3	-5141.48	4.42626e+024
2680	17667.4	-5091.84	4.35454e+024
2690	18070.8	-5041.09	4.28079e+024
2700	18475.3	-4989.21	4.20501e+024
2710	18881	-4936.19	4.12721e+024
2720	19287.8	-4882.05	4.04738e+024
2730	19695.6	-4826.78	3.96556e+024
2740	20104.4	-4770.36	3.88176e+024
2750	20514.1	-4712.81	3.796e+024
2760	20924.5	-4654.12	3.70834e+024
2770	21335.7	-4594.28	3.6188e+024
2780	21747.4	-4533.3	3.52744e+024
2790	22159.6	-4471.17	3.43432e+024
2800	22572.2	-4407.9	3.33951e+024
2810	22985	-4343.48	3.2431e+024
2820	23397.8	-4277.91	3.14516e+024
2830	23810.5	-4211.2	3.0458e+024
2840	24223	-4143.34	2.94512e+024
2850	24635	-4074.33	2.84326e+024
2860	25046.3	-4004.19	2.74035e+024
2870	25456.8	-3932.91	2.63652e+024
2880	25866.1	-3860.49	2.53194e+024
2890	26274.2	-3786.94	2.42678e+024
2900	26680.5	-3712.26	2.32121e+024
2910	27085.1	-3636.46	2.21543e+024
2920	27487.4	-3559.55	2.10964e+024
2930	27887.3	-3481.53	2.00405e+024
2940	28284.3	-3402.41	1.8989e+024
2950	28678.3	-3322.2	1.79441e+024
2960	29068.7	-3240.91	1.69082e+024
2970	29455.3	-3158.56	1.58839e+024
2980	29837.7	-3075.14	1.48737e+024
2990	30215.4	-2990.69	1.38801e+024
3000	30588.1	-2905.2	1.29057e+024
3010	30955.3	-2818.7	1.19533e+024
3020	31316.6	-2731.21	1.10253e+024
3030	31671.6	-2642.74	1.01243e+024
3040	32019.7	-2553.31	9.25283e+023
3050	32360.5	-2462.95	8.41325e+023
3060	32693.6	-2371.67	7.60785e+023
3070	33018.4	-2279.5	6.83874e+023
3080	33334.5	-2186.47	6.10788e+023
3090	33641.3	-2092.59	5.41702e+023
3100	33938.4	-1997.91	4.76769e+023
3110	34225.3	-1902.44	4.16113e+023
3120	34501.4	-1806.22	3.59834e+023
3130	34766.3	-1709.28	3.07997e+023
3140	35019.4	-1611.65	2.60637e+023
3150	35260.4	-1513.37	2.17754e+023
3160	35488.8	-1414.47	1.79309e+023
3170	35704	-1315	1.4523e+023
3180	35905.7	-1214.98	1.15404e+023
3190	36093.4	-1114.46	8.96817e+022
3200	36266.9	-1013.48	6.78745e+022
3210	36425.6	-912.073	4.97577e+022
3220	36569.2	-810.293	3.5071e+022
3230	36697.5	-708.177	2.35202e+022
3240	36810.1	-605.77	1.47799e+022
3250	36906.8	-503.117	8.49609e+021
3260	36987.4	-400.262	4.28985e+021
3270	37051.7	-297.251	1.76078e+021
3280	37099.6	-194.13	4.91212e+020
3290	37130.9	-90.9455	5.05488e+019
3300	37145.6	12.2571	1.23774e+017
3310	37143.6	115.431	1.0334e+020
3320	37125	218.53	7.00474e+020
3330	37089.8	321.508	2.22699e+021
3340	37038	424.32	5.10779e+021
3350	36969.9	526.919	9.75278e+021
3360	36885.5	629.262	1.65526e+022
3370	36785.1	731.303	2.5875e+022
3380	36668.9	833	3.80608e+022
3390	36537.2	934.309	5.34215e+022
3400	36390.2	1035.19	7.22363e+022
3410	36228.4	1135.6	9.47499e+022
3420	36051.9	1235.5	1.21171e+023
3430	35861.3	1334.85	1.51672e+023
3440	35656.8	1433.61	1.86388e+023
3450	35439	1531.75	2.25414e+023
3460	35208.3	1629.23	2.68811e+023
3470	34965.1	1726.02	3.16603e+023
3480	34709.9	1822.08	3.68778e+023
3490	34443.1	1917.38	4.25291e+023
3500	34165.3	2011.9	4.86065e+023
3510	33876.9	2105.6	5.50997e+023
3520	33578.5	2198.46	6.19953e+023
3530	33270.4	2290.45	6.92776e+023
3540	32953.3	2381.55	7.69291e+023
3550	32627.5	2471.73	8.49298e+023
3560	32293.7	2560.97	9.32587e+023
3570	31952.2	2649.25	1.01893e+024
3580	31603.6	2736.56	1.10809e+024
3590	31248.2	2822.86	1.19983e+024
3600	30886.6	2908.16	1.29389e+024
3610	30519.2	2992.42	1.39002e+024
3620	30146.4	3075.64	1.48797e+024
3630	29768.6	3157.81	1.58748e+024
3640	29386.3	3238.91	1.6883e+024
3650	28999.8	3318.93	1.79019e+024
3660	28609.5	3397.85	1.89291e+024
3670	28215.8	3475.68	1.99622e+024
3680	27818.9	3552.41	2.0999e+024
3690	27419.3	3628.02	2.20373e+024
3700	27017.2	3702.51	2.30752e+024
3710	26613	3775.87	2.41105e+024
3720	26206.9	3848.1	2.51416e+024
3730	25799.1	3919.2	2.61666e+024
3740	25390	3989.16	2.71839e+024
3750	24979.7	4057.98	2.81921e+024
3760	24568.6	4125.65	2.91897e+024
3770	24156.7	4192.18	3.01755e+024
3780	23744.4	4257.57	3.11483e+024
3790	23331.7	4321.81	3.2107e+024
3800	22918.9	4384.9	3.30507e+024
3810	22506.1	4446.84	3.39786e+024
3820	22093.4	4507.64	3.48898e+024
3830	21681	4567.29	3.57837e+024
3840	21269.1	4625.8	3.66598e+024
3850	20857.6	4683.16	3.75175e+024
3860	20446.8	4739.39	3.83564e+024
3870	20036.7	4794.48	3.91762e+024
3880	19627.4	4848.43	3.99765e+024
3890	19219	4901.25	4.07573e+024
3900	18811.6	4952.94	4.15182e+024
3910	18405.1	5003.5	4.22593e+024
3920	17999.7	5052.94	4.29805e+024
3930	17595.5	5101.25	4.36817e+024
3940	17192.3	5148.45	4.4363e+024
3950	16790.4	5194.53	4.50244e+024
3960	16389.7	5239.5	4.56661e+024
3970	15990.2	5283.36	4.62882e+024
3980	15591.9	5326.12	4.68909e+024
3990	15195	5367.78	4.74743e+024
4000	14799.3	5408.34	4.80387e+024
4010	14404.8	5447.8	4.85842e+024
4020	14011.7	5486.18	4.91111e+024
4030	13619.8	5523.46	4.96196e+024
4040	13229.2	5559.67	5.011e+024
4050	12839.9	5594.8	5.05826e+024
4060	12451.8	5628.85	5.10376e+024
4070	12065	5661.82	5.14752e+024
4080	11679.3	5693.73	5.18959e+024
4090	11294.9	5724.57	5.22998e+024
4100	10911.6	5754.35	5.26872e+024
4110	10529.5	5783.07	5.30584e+024
4120	10148.5	5810.73	5.34137e+024
4130	9768.58	5837.33	5.37533e+024
4140	9389.73	5862.89	5.40775e+024
4150	9011.91	5887.4	5.43865e+024
4160	8635.08	5910.86	5.46807e+024
4170	8259.23	5933.28	5.49601e+024
4180	7884.29	5954.66	5.52252e+024
4190	7510.26	5975	5.54761e+024
4200	7137.07	5994.31	5.5713e+024
4210	6764.71	6012.58	5.59361e+024
4220	6393.12	6029.83	5.61456e+024
4230	6022.26	6046.04	5.63418e+024
4240	5652.11	6061.23	5.65248e+024
4250	5282.61	6075.39	5.66947e+024
4260	4913.73	6088.52	5.68518e+024
4270	4545.42	6100.64	5.69961e+024
4280	4177.64	6111.73	5.71279e+024
4290	3810.35	6121.81	5.72472e+024
4300	3443.5	6130.86	5.73541e+024
4310	3077.05	6138.9	5.74488e+024
4320	2710.95	6145.92	5.75314e+024
4330	2345.17	6151.93	5.76019e+024
4340	1979.65	6156.92	5.76604e+024
4350	1614.36	6160.9	5.77069e+024
4360	1249.24	6163.86	5.77416e+024
4370	884.254	6165.81	5.77643e+024
4380	519.355	6166.75	5.77753e+024
4390	154.497	6166.67	5.77744e+024
4400	-210.363	6165.58	5.77616e+024
4410	-575.273	6163.47	5.7737e+024
4420	-940.276	6160.35	5.77006e+024
4430	-1305.42	6156.22	5.76522e+024
4440	-1670.74	6151.07	5.75918e+024
4450	-2036.3	6144.91	5.75195e+024
4460	-2402.13	6137.73	5.7435e+024
4470	-2768.28	6129.53	5.73384e+024
4480	-3134.78	6120.31	5.72295e+024
4490	-3501.7	6110.08	5.71082e+024
4500	-3869.07	6098.82	5.69745e+024
4510	-4236.93	6086.54	5.68281e+024
4520	-4605.32	6073.23	5.66689e+024
4530	-4974.3	6058.9	5.64968e+024
4540	-5343.9	6043.55	5.63117e+024
4550	-5714.16	6027.16	5.61133e+024
4560	-6085.12	6009.74	5.59014e+024
4570	-6456.83	5991.29	5.5676e+024
4580	-6829.33	5971.8	5.54367e+024
4590	-7202.65	5951.28	5.51833e+024
4600	-7576.83	5929.71	5.49157e+024
4610	-7951.91	5907.1	5.46336e+024
4620	-8327.92	5883.44	5.43368e+024
4630	-8704.91	5858.74	5.4025e+024
4640	-9082.9	5832.99	5.36979e+024
4650	-9461.92	5806.18	5.33554e+024
4660	-9842.02	5778.31	5.29971e+024
4670	-10223.2	5749.38	5.26228e+024
4680	-10605.5	5719.39	5.22322e+024
4690	-10989	5688.33	5.1825e+024
4700	-11373.6	5656.21	5.14009e+024
4710	-11759.5	5623	5.09597e+024
4720	-12146.6	5588.73	5.05011e+024
4730	-12534.9	5553.37	5.00249e+024
4740	-12924.4	5516.93	4.95307e+024
4750	-13315.2	5479.4	4.90182e+024
4760	-13707.3	5440.78	4.84873e+024
4770	-14100.7	5401.06	4.79377e+024
4780	-14495.3	5360.25	4.73692e+024
4790	-14891.3	5318.33	4.67815e+024
4800	-15288.5	5275.31	4.61744e+024
4810	-15686.9	5231.19	4.55478e+024
4820	-16086.7	5185.94	4.49015e+024
4830	-16487.6	5139.59	4.42354e+024
4840	-16889.8	5092.11	4.35494e+024
4850	-17293.1	5043.52	4.28434e+024
4860	-17697.6	4993.8	4.21173e+024
4870	-18103.2	4942.95	4.13714e+024
4880	-18509.9	4890.96	4.06055e+024
4890	-18917.5	4837.85	3.98198e+024
4900	-19326.1	4783.6	3.90144e+024
4910	-19735.6	4728.21	3.81897e+024
4920	-20145.8	4671.68	3.73459e+024
4930	-20556.8	4614.01	3.64833e+024
4940	-20968.3	4555.19	3.56024e+024
4950	-21380.4	4495.23	3.47038e+024
4960	-21792.8	4434.12	3.37879e+024
4970	-22205.5	4371.86	3.28556e+024
4980	-22618.4	4308.46	3.19076e+024
4990	-23031.2	4243.91	3.09448e+024
5000	-23443.8	4178.22	2.99682e+024
5010	-23856.1	4111.38	2.89788e+024
5020	-24267.8	4043.4	2.79779e+024
5030	-24678.8	3974.27	2.69667e+024
5040	-25088.8	3904.01	2.59468e+024
5050	-25497.6	3832.62	2.49196e+024
5060	-25905	3760.09	2.38868e+024
5070	-26310.8	3686.44	2.28502e+024
5080	-26714.6	3611.68	2.18116e+024
5090	-27116.2	3535.8	2.0773e+024
5100	-27515.2	3458.81	1.97366e+024
5110	-27911.4	3380.73	1.87044e+024
5120	-28304.4	3301.56	1.76788e+024
5130	-28693.9	3221.31	1.66621e+024
5140	-29079.5	3140	1.56568e+024
5150	-29460.9	3057.64	1.46652e+024
5160	-29837.6	2974.23	1.369e+024
5170	-30209.3	2889.8	1.27336e+024
5180	-30575.5	2804.36	1.17986e+024
5190	-30935.8	2717.93	1.08876e+024
5200	-31289.7	2630.52	1.00028e+024
5210	-31636.9	2542.16	9.1469e+023
5220	-31976.8	2452.86	8.32208e+023
5230	-32309	2362.65	7.53059e+023
5240	-32633	2271.55	6.77449e+023
5250	-32948.3	2179.59	6.05568e+023
5260	-33254.4	2086.79	5.37587e+023
5270	-33550.9	1993.19	4.73654e+023
5280	-33837.2	1898.8	4.13893e+023
5290	-34112.9	1803.65	3.584e+023
5300	-34377.5	1707.79	3.07241e+023
5310	-34630.4	1611.25	2.60452e+023
5320	-34871.4	1514.05	2.18033e+023
5330	-35099.8	1416.23	1.79952e+023
5340	-35315.3	1317.83	1.4614e+023
5350	-35517.4	1218.89	1.16491e+023
5360	-35705.7	1119.45	9.08624e+022
5370	-35879.8	1019.54	6.90754e+022
5380	-36039.4	919.211	5.09154e+022
5390	-36184.1	818.498	3.6133e+022
5400	-36313.6	717.447	2.44464e+022
5410	-36427.7	616.101	1.55432e+022
5420	-36526	514.503	9.08295e+021
5430	-36608.4	412.699	4.70087e+021
5440	-36674.7	310.733	2.01089e+021
5450	-36724.7	208.65	6.09772e+020
5460	-36758.4	106.497	8.11589e+019
5470	-36775.5	4.31853	5.41353e+015
5480	-36776.2	-97.8387	6.29335e+019
5490	-36760.4	-199.929	5.36521e+020
5500	-36728.2	-301.907	1.84467e+021
5510	-36679.6	-403.727	4.40188e+021
5520	-36614.8	-505.345	8.60889e+021
5530	-36533.8	-606.715	1.48486e+022
5540	-36436.9	-707.794	2.34825e+022
5550	-36324.4	-808.539	3.48467e+022
5560	-36196.3	-908.907	4.92496e+022
5570	-36053.2	-1008.86	6.69689e+022
5580	-35895.1	-1108.34	8.82494e+022
5590	-35722.6	-1207.33	1.13302e+023
5600	-35536	-1305.79	1.42301e+023
5610	-35335.5	-1403.66	1.75386e+023
5620	-35121.7	-1500.93	2.1266e+023
5630	-34895	-1597.54	2.54188e+023
5640	-34655.9	-1693.48	3.00004e+023
5650	-34404.6	-1788.7	3.50104e+023
5660	-34141.8	-1883.17	4.04453e+023
5670	-33867.9	-1976.87	4.62985e+023
5680	-33583.4	-2069.76	5.25605e+023
5690	-33288.8	-2161.82	5.92192e+023
5700	-32984.5	-2253.02	6.626e+023
5710	-32671	-2343.34	7.36663e+023
5720	-32348.8	-2432.75	8.14195e+023
5730	-32018.4	-2521.23	8.94993e+023
5740	-31680.3	-2608.76	9.78843e+023
5750	-31334.9	-2695.32	1.06552e+024
5760	-30982.6	-2780.89	1.15478e+024
5770	-30624	-2865.46	1.24639e+024
5780	-30259.5	-2949.01	1.3401e+024
5790	-29889.4	-3031.52	1.43567e+024
5800	-29514.2	-3112.98	1.53285e+024
5810	-29134.3	-3193.39	1.63139e+024
5820	-28750.2	-3272.71	1.73106e+024
5830	-28362	-3350.96	1.83162e+024
5840	-27970.3	-3428.11	1.93284e+024
5850	-27575.3	-3504.16	2.03449e+024
5860	-27177.4	-3579.1	2.13637e+024
5870	-26776.9	-3652.92	2.23827e+024
5880	-26374	-3725.62	2.34e+024
5890	-25969.2	-3797.2	2.44138e+024
5900	-25562.5	-3867.64	2.54223e+024
5910	-25154.4	-3936.95	2.64238e+024
5920	-24745	-4005.11	2.7417e+024
5930	-24334.5	-4072.14	2.84004e+024
5940	-23923.2	-4138.02	2.93726e+024
5950	-23511.2	-4202.76	3.03326e+024
5960	-23098.8	-4266.35	3.12792e+024
5970	-22686.1	-4328.79	3.22114e+024
5980	-22273.3	-4390.09	3.31285e+024
5990	-21860.5	-4450.24	3.40295e+024
6000	-21447.8	-4509.24	3.49139e+024
6010	-21035.5	-4567.1	3.57809e+024
6020	-20623.5	-4623.82	3.66302e+024
6030	-20212	-4679.39	3.74611e+024
6040	-19801.2	-4733.82	3.82734e+024
6050	-19391	-4787.12	3.90668e+024
6060	-18981.6	-4839.28	3.98409e+024
6070	-18573	-4890.3	4.05957e+024
6080	-18165.4	-4940.19	4.13309e+024
6090	-17758.7	-4988.96	4.20465e+024
6100	-17353	-5036.6	4.27425e+024
6110	-16948.3	-5083.11	4.34189e+024
6120	-16544.7	-5128.51	4.40757e+024
6130	-16142.3	-5172.79	4.47129e+024
6140	-15741	-5215.96	4.53307e+024
6150	-15340.8	-5258.02	4.59293e+024
6160	-14941.9	-5298.97	4.65087e+024
6170	-14544.1	-5338.82	4.70692e+024
6180	-14147.5	-5377.56	4.76109e+024
6190	-13752.1	-5415.22	4.8134e+024
6200	-13357.9	-5451.77	4.86389e+024
6210	-12964.9	-5487.24	4.91256e+024
6220	-12573.1	-5521.62	4.95945e+024
6230	-12182.4	-5554.92	5.00459e+024
6240	-11792.9	-5587.14	5.04798e+024
6250	-11404.6	-5618.28	5.08967e+024
6260	-11017.3	-5648.34	5.12967e+024
6270	-10631.2	-5677.34	5.16802e+024
6280	-10246.1	-5705.26	5.20473e+024
6290	-9862.13	-5732.13	5.23983e+024
6300	-9479.15	-5757.92	5.27336e+024
6310	-9097.16	-5782.66	5.30532e+024
6320	-8716.14	-5806.35	5.33576e+024
6330	-8336.05	-5828.97	5.36468e+024
6340	-7956.86	-5850.55	5.39212e+024
6350	-7578.54	-5871.08	5.41809e+024
6360	-7201.05	-5890.55	5.44262e+024
6370	-6824.36	-5908.99	5.46572e+024
6380	-6448.42	-5926.38	5.48743e+024
6390	-6073.2	-5942.73	5.50774e+024
6400	-5698.67	-5958.04	5.52669e+024
6410	-5324.77	-5972.31	5.54429e+024
6420	-4951.47	-5985.54	5.56055e+024
